# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar  7 09:06:03 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_name not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null
# CONSTRAINT:  and pl_insol not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
#
pl_name,pl_rade,pl_bmasse,pl_insol
55 Cnc e,1.87500000,7.99000000,2657.8322
AU Mic b,4.79000000,8.99000000,21.2000
AU Mic c,2.79000000,14.46000000,7.3000
BD-14 3065 b,21.59000000,3932.00000000,646.7610
BD-210397 b,14.00000000,214.00000000,0.0200
BD-210397 c,12.90000000,1525.57635360,0.0039
Barnard b,0.72000000,0.29900000,6.7600
CD Cet b,1.82000000,3.95000000,8.6000
CoRoT-1 b,16.70000000,327.35000000,2852.6300
CoRoT-10 b,10.87000000,874.00000000,16.1089
CoRoT-11 b,16.03000000,740.51000000,1890.6490
CoRoT-12 b,16.14000000,291.43800000,661.1334
CoRoT-13 b,9.92000000,415.70400000,546.5339
CoRoT-18 b,14.68000000,1102.82000000,823.7009
CoRoT-19 b,14.46000000,352.78000000,1103.8090
CoRoT-2 b,16.43200000,1102.82000000,932.9076
CoRoT-20 b,9.41556000,1366.66900000,180.8704
CoRoT-32 b,6.38913000,47.67450000,132.2600
CoRoT-4 b,13.34000000,228.83000000,203.9517
CoRoT-5 b,15.55800000,148.42000000,786.2949
DS Tuc A b,5.70000000,413.17900000,115.8276
EPIC 201595106 b,1.56500000,7.67000000,2852.0000
EPIC 211822797 b,1.92000000,4.35000000,3.5000
EPIC 211945201 b,5.76000000,11.00000000,101.0000
EPIC 220674823 b,1.67600000,7.80000000,4656.0000
EPIC 220674823 c,2.84000000,7.32000000,70.0000
EPIC 229004835 b,2.33200000,10.40000000,69.7000
EPIC 246851721 b,11.78065900,953.49000000,642.0000
EPIC 248847494 b,12.44199000,4131.79000000,0.1900
EPIC 249893012 b,1.95000000,8.75000000,1037.0000
EPIC 249893012 c,3.67000000,14.67000000,160.0000
