pair_id,anon_id,pl_name,pl_rade,pl_bmasse,pl_insol,selected_threshold,label_habitable
1,B01,TOI-756 c,1.0,12.87205048,0.24,pl_insol@0.25,0
2,B02,GJ 1002 c,1.1,1.36,0.257,pl_insol@0.25,1
3,B03,GJ 273 b,1.51,2.89,1.48,pl_insol@1.49,1
4,B04,GJ 273 b,0.88,3.0,1.50,pl_insol@1.49,0
5,B05,Kepler-102 b,0.46,0.05,1.09,pl_rade@0.50,0
6,B06,Kepler-1308 b,0.53,0.0933,1.054,pl_rade@0.50,1
7,B07,K2-68 b,1.58,3.12,0.41,pl_rade@1.60,1
8,B08,Kepler-1073 c,1.61,3.33,1.358,pl_rade@1.60,0
9,B09,Kepler-444 c,0.3218,0.0793,1.478,pl_bmasse@0.10,0
10,B10,GJ 238 b,0.45,0.112,1.079,pl_bmasse@0.10,1
11,B11,Kepler-895 b,0.22,2.99,1.2,pl_bmasse@3.00,1
12,B12,Kepler-895 b,0.41,3.012,1.39,pl_bmasse@3.00,0
