Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Radius<br>(R<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Distance<br>(ly),Age<br>(Gy),ESI
TOI-700 e,M Warm Terran,Transit,0.8179999999999999,0.9530000000000000,1.278049313841024,305.6881109516861,27.80978000000000,101.5209473400000,1.500000000000000,0.9120318593055377
TOI-700 d,M Warm Terran,Transit,1.250000000000000,1.073000000000000,0.8598268771328632,276.9392586198363,37.42396000000000,101.5209473400000,1.500000000000000,0.9411759197418450
LP 890-9 c,M Warm Terran,Transit,25.30000000000000,1.367000000000000,0.9085761668189248,280.8767919413650,8.457463000000001,105.7717384880000,7.200000000000000,0.8852510892201346
Teegarden's Star b,M Warm Terran,Radial Velocity,1.160000000000000,1.050000000000000,1.077943485815514,293.0901371164898,4.906340000000000,12.49431881680000,8.000000000000000,0.9683623820823887
Teegarden's Star c,M Warm Terran,Radial Velocity,1.050000000000000,1.020000000000000,0.3494016250358681,221.1191594435956,11.41600000000000,12.49431881680000,8.000000000000000,0.6590047778475818
Kepler-1649 c,M Warm Terran,Transit,1.200000000000000,1.060000000000000,1.226056845240327,302.7284049431404,19.53527000000000,300.6874564280000,NaN,0.9252978951868612
TRAPPIST-1 g,M Warm Terran,Transit,1.321000000000000,1.129000000000000,0.2523205507303448,203.8981684656817,12.35244600000000,40.54082811452800,0.5000000000000000,0.5756638207235474
TRAPPIST-1 d,M Warm Subterran,Transit,0.3880000000000000,0.7880000000000000,1.115770254052075,295.6742547863868,4.049219000000000,40.54082811452800,0.5000000000000000,0.9076624106772956
GJ 1002 b,M Warm Terran,Radial Velocity,1.080000000000000,1.030000000000000,0.6732364168034870,260.5958054292739,10.34650000000000,15.81422812520000,NaN,0.8615154553633029
GJ 667 C e,M Warm Terran,Radial Velocity,2.700000000000000,1.450000000000000,0.3022231093474442,213.2921445072652,62.24000000000000,23.62661017760000,2.000000000000000,0.5994658440247006
GJ 667 C f,M Warm Terran,Radial Velocity,2.700000000000000,1.450000000000000,0.5635679978950997,249.2233830204183,39.02600000000000,23.62661017760000,2.000000000000000,0.7637299294926450
TRAPPIST-1 e,M Warm Terran,Transit,0.6919999999999999,0.9200000000000000,0.6467760165672199,257.9953507861015,6.101013000000000,40.54082811452800,0.5000000000000000,0.8454945115261311
Kepler-62 f,K Warm Terran,Transit,35.00000000000000,1.410000000000000,0.4071468803825863,229.8070241269592,267.2910000000000,981.3186034400001,7.000000000000000,0.6787140844078122
TOI-715 b,M Warm Terran,Transit,3.020000000000000,1.550000000000000,0.7125967138229101,264.3239251373151,19.28800400000000,138.3057994880000,6.200000000000000,0.8067602540204043
Proxima Cen b,M Warm Terran,Radial Velocity,1.070000000000000,1.030000000000000,0.6784682362017355,261.0810336683397,11.18680000000000,4.243909256400000,NaN,0.8641422933166401
K2-3 d,M Warm Terran,Transit,2.200000000000000,1.458000000000000,1.454409660819314,315.4427259618852,44.55603000000000,143.7457554120000,6.900000000000000,0.8142638226173193
Kepler-442 b,K Warm Terran,Transit,2.360000000000000,1.340000000000000,0.6996826386446520,263.0391661405113,112.3053000000000,1193.616805400000,2.900000000000000,0.8382420225025671
Ross 128 b,M Warm Terran,Radial Velocity,1.400000000000000,1.110000000000000,1.482444411453575,316.6417140251464,9.865800000000000,11.00626468240000,5.000000000000000,0.8577206656471901
GJ 273 b,M Warm Terran,Radial Velocity,2.890000000000000,1.510000000000000,1.064476588746966,291.6700194895948,18.64980000000000,12.34846216290474,NaN,0.8546375895745704
TRAPPIST-1 f,M Warm Terran,Transit,1.039000000000000,1.045000000000000,0.3735306114175542,224.9048458455353,9.207540000000000,40.54082811452800,0.5000000000000000,0.6771124055864510
GJ 1061 c,M Warm Terran,Radial Velocity,1.740000000000000,1.180000000000000,1.448571317858297,310.4958039055941,6.689000000000000,11.97899233680000,7.000000000000000,0.8579105793021902
Kepler-1652 b,M Warm Terran,Transit,3.190000000000000,1.600000000000000,0.8412575784213380,275.5229428119624,38.09722000000000,821.9131199999999,3.200000000000000,0.8258056945095709
Kepler-186 f,M Warm Terran,Transit,1.710000000000000,1.170000000000000,0.2947000572382695,211.9045098682499,129.9441000000000,579.2334866399999,4.000000000000000,0.6108342013890882
Kepler-1229 b,M Warm Terran,Transit,2.540000000000000,1.400000000000000,0.3243560832703989,217.1106026765632,86.82898900000001,865.8854719200000,3.720000000000000,0.6204943878261699
GJ 1002 c,M Warm Terran,Radial Velocity,1.360000000000000,1.100000000000000,0.2581590037033207,205.0677376023670,21.20200000000000,15.81422812520000,NaN,0.5817152529716992
GJ 1061 d,M Warm Terran,Radial Velocity,1.640000000000000,1.160000000000000,0.6867803108511250,246.5756326354671,13.03100000000000,11.97899233680000,7.000000000000000,0.8586351119602917
Kepler-296 e,M Warm Terran,Transit,2.960000000000000,1.530000000000000,1.000606613307680,281.6348027737593,34.14211000000000,544.6805200000000,4.200000000000000,0.8518707588189728
K2-72 e,M Warm Terran,Transit,2.210000000000000,1.290000000000000,1.303262132935844,306.6853931525540,24.15886800000000,216.6722800760000,NaN,0.8708235731580869
Wolf 1069 b,M Warm Terran,Radial Velocity,1.260000000000000,1.080000000000000,0.6520208053869847,258.5180578097902,15.56400000000000,31.25686671960000,NaN,0.8485934799055707
