group_id,anon_id,pl_name,pl_rade,pl_bmasse,pl_insol,label_habitable
1,G01_P1,GJ 1002 b,1.03,1.08,0.67,1
1,G01_P2,TOI-715 b,1.55,3.02,0.67,1
1,G01_P3,WASP-31 b,17.363,151.916,970.9417,0
1,G01_P4,WASP-132 b,10.09929161,136.0305582,58.5,0
1,G01_P5,LP 890-9 c,1.367,25.3,0.906,1
2,G02_P1,Qatar-10 b,17.295487,233.92288,1816.48,0
2,G02_P2,WASP-168 b,16.8135,133.4886,278.886,0
2,G02_P3,Kepler-82 d,1.77,885.098,484.351,0
2,G02_P4,Kepler-1649 c,1.06,1.2,0.75,1
2,G02_P5,Kepler-1282 b,1.55,3.02,672.532,0
3,G03_P1,Kepler-1418 b,1.66,3.39,7.29,0
3,G03_P2,Kepler-1213 b,1.19,1.81,595.424,0
3,G03_P3,Kepler-136 c,1.99,4.62,162.044,0
3,G03_P4,Kepler-1229 b,1.4,2.54,0.524,1
3,G03_P5,HD 23472 f,1.137,0.77,26.3,0
4,G04_P1,K2-72 e,1.29,2.21,1.2,1
4,G04_P2,Proxima Cen b,1.02,1.055,0.641,1
4,G04_P3,GJ 273 b,1.51,2.89,1.06,1
4,G04_P4,Kepler-1945 b,1.289,2.21,100.72,0
4,G04_P5,TOI-700 e,0.953,0.818,1.27,1
5,G05_P1,Kepler-282 c,1.2,1.87,116.117,0
5,G05_P2,GJ 1061 c,1.18,1.74,1.4,1
5,G05_P3,TOI-4379 b,16.69017226,353.74301699,2886.0903,0
5,G05_P4,TOI-776 b,1.798,5.0,11.5,0
5,G05_P5,TOI-5350 b,12.41955062,2094.48920213,321.879,0
6,G06_P1,Kepler-191 c,1.86,4.12,23.2,0
6,G06_P2,GJ 1002 c,1.1,1.36,0.257,1
6,G06_P3,K2-180 b,2.46597575,11.41003981,48.3,0
6,G06_P4,Kepler-296 e,1.53,2.96,1.41,1
6,G06_P5,HATS-64 b,18.819911,305.1168,1711.0,0
7,G07_P1,Kepler-1416 b,0.88,0.615,2658.55,0
7,G07_P2,Teegarden's Star b,1.05,1.16,1.08,1
7,G07_P3,K2-97 b,13.45077684,174.48779544,114.149,0
7,G07_P4,WASP-97 b,12.77826,432.2488,1414.87,0
7,G07_P5,Teegarden's Star c,1.02,1.05,0.35,1
8,G08_P1,TOI-2095 b,1.25,4.1,3.43,0
8,G08_P2,Kepler-745 b,2.16,5.31,286.026,0
8,G08_P3,Kepler-286 b,1.24,2.07,850.1,0
8,G08_P4,Kepler-1663 b,3.30395896,10.9,4.07,0
8,G08_P5,HAT-P-21 b,12.44199,1547.8321,459.542,0
9,G09_P1,Kepler-1300 b,1.37,2.45,149.409,0
9,G09_P2,K2-3 d,1.458,2.2,1.44,1
9,G09_P3,Kepler-1257 b,1.52,2.92,546.908,0
9,G09_P4,TRAPPIST-1 e,0.92,0.692,0.646,1
9,G09_P5,Kepler-1521 b,2.5,6.8,5.122,0
10,G10_P1,TOI-1470 b,2.18,7.32,46.3,0
10,G10_P2,Kepler-1837 b,2.06673842,4.92,247.83,0
10,G10_P3,Kepler-51 c,9.0,4.0,4.331,0
10,G10_P4,Kepler-233 b,2.43,6.48,85.131,0
10,G10_P5,TOI-700 d,1.073,1.25,0.85,1
11,G11_P1,Kepler-652 b,2.49,6.76,211.884,0
11,G11_P2,GJ 1061 d,1.16,1.64,0.6,1
11,G11_P3,Gliese 12 b,0.93,0.95,1.62,0
11,G11_P4,HATS-32 b,14.000041,292.4036,614.5934,0
11,G11_P5,TRAPPIST-1 f,1.045,1.039,0.373,1
12,G12_P1,Kepler-1329 b,2.17,5.35,26.645,0
12,G12_P2,Ross 128 b,1.11,1.4,1.38,1
12,G12_P3,Kepler-315 c,4.15,16.1,1.722,0
12,G12_P4,Kepler-499 b,2.17,5.35,148.456,0
12,G12_P5,Kepler-1468 b,1.73,3.64,481.352,0
